Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Root, Bradley Walter","HINE 110 - Jesus, the Gospels, & History (A)",SU10,29,12,91.7 %,100.0 %,5,B+ (3.64),N/A
"Hineline, Mark Lawrence",HISC 105 - History of Environmentalism (A),SU10,27,14,100.0 %,100.0 %,4.64,B+ (3.50),N/A
"Golan, Tal",HISC 107 - Emergence of Modern Science (A),SU10,22,6,83.3 %,100.0 %,6.83,B+ (3.50),N/A
"Golan, Tal","HISC 131 - Science, Technology, & Law (A)",SU10,9,3,100.0 %,100.0 %,3.83,A (4.00),N/A
"Patterson, Patrick H.",HITO 134 - Internatnl Law/War Crimes&Geno (A),SU10,17,8,100.0 %,100.0 %,12.25,A- (3.86),N/A
"Gonzales, Christian M",HIUS 108A - History/Native Americans/US I (A),SU10,30,8,100.0 %,100.0 %,9.25,N/A,N/A
"Widener, Daniel",HIUS 117 - History of Los Angeles (A),SU10,23,6,83.3 %,83.3 %,7.5,B+ (3.67),N/A
"Widener, Daniel",HIUS 122 - History & Hollywood (A),SU10,28,7,85.7 %,85.7 %,5.93,B (3.29),N/A
"Jordan, Ryan P",HIUS 132 - Civil War-Recnstrct in PopCult (A),SU10,12,5,100.0 %,80.0 %,5.5,B+ (3.60),N/A
"Jordan, Ryan P",HIUS 132S - Civil War-Recnstrct in PopCult (A),SU10,12,5,100.0 %,80.0 %,5.5,B+ (3.60),N/A
"Wilson, Rai I.",HIUS 139 - African Amrcn Hist/the 20th C. (A),SU10,15,7,85.7 %,100.0 %,4.5,A (4.00),N/A
"Parrish, Michael E.",HIUS 144 - Topics in U.S. History (A),SU10,17,8,87.5 %,100.0 %,6.25,B+ (3.67),N/A
"Hineline, Mark Lawrence",HIUS 154 - Western Environmental History (A),SU10,17,7,85.7 %,100.0 %,4.79,A (4.00),N/A
"Jordan, Ryan P",HIUS 155A - Religion&Law:Fndtns to Cvl War (A),SU10,10,2,100.0 %,100.0 %,9.5,A (4.00),N/A
"Reyes, Barbara Olivia",HIUS 158 - Social & Econ Hist/Southwest I (A),SU10,8,2,100.0 %,100.0 %,4.5,N/A,N/A
"Voyles, Traci Brynne",HIUS 159 - Social&Econ Hist/Southwest II (A),SU10,17,7,100.0 %,100.0 %,5.64,B+ (3.67),N/A
"Henry, Todd A.",HIEA 180 - Topics/Modern Korean History (A),SP10,12,3,100.0 %,100.0 %,11.83,B+ (3.50),N/A
"Caciola, Nancy A",HIEU 163 - Special Topics/Medievl History (A),SP10,14,8,100.0 %,100.0 %,7.5,B (3.25),N/A
"Hertz, Deborah",HIEU 171 - Topic/Twentieth Century Europe (A),SP10,9,4,100.0 %,100.0 %,7,B+ (3.50),N/A
"Goodblatt, David",HINE 170 - Special Tops/Jewish History (A),SP10,9,2,100.0 %,100.0 %,5.5,B+ (3.50),N/A
"Herbst, Matthew","HITO 117 - World History, 1200-1800 (A)",SP10,10,5,100.0 %,100.0 %,10.5,B+ (3.60),N/A
"Kernell, Samuel H.",HITO 193 - Research Seminar/Washington DC (A),SP10,13,2,100.0 %,100.0 %,4.5,N/A,N/A
"Widener, Daniel",HITO 87 - Freshman Seminar (A),SP10,8,5,100.0 %,100.0 %,0.5,A (4.00),N/A
"Patterson, Patrick H.",HITO 87 - Freshman Seminar (B),SP10,6,3,100.0 %,100.0 %,2.5,N/A,N/A
"Golan, Tal",HITO 87 - Freshman Seminar (C),SP10,7,2,100.0 %,100.0 %,2.5,N/A,N/A
"Schneewind, Sarah",HITO 87 - Freshman Seminar (D),SP10,8,6,66.7 %,83.3 %,1.83,N/A,N/A
"Shah, Nayan B",HITO 87 - Freshman Seminar (E),SP10,7,4,100.0 %,100.0 %,2.5,A (4.00),N/A
"Marino, John A.",HITO 87 - Freshman Seminar (F),SP10,6,4,100.0 %,100.0 %,2.5,N/A,N/A
"Patterson, Patrick H.",HITO 87 - Freshman Seminar (G),SP10,9,6,100.0 %,100.0 %,2.5,N/A,N/A
"Parrish, Michael E.",HIUS 169 - Topic/Amer Legal & Const Hist (A),SP10,14,9,100.0 %,100.0 %,3.39,B+ (3.50),N/A
"Gutierrez, David G",HIUS 180 - Immigration&Ethnicity/Amer Soc (A),SP10,12,8,100.0 %,100.0 %,8,B+ (3.57),N/A
"Plant, Rebecca Jo",HIUS 181 - Topics in 20th Century U.S. (A),SP10,6,4,100.0 %,100.0 %,5.5,B (3.25),N/A
"Hendrickson, Gerald M.",HIUS 181 - Topics in 20th Century U.S. (B),SP10,7,3,100.0 %,100.0 %,3.83,B+ (3.67),N/A
"Pickowicz, Paul G.",HIEA 163 - Topics/Cinema 20th Cent China (A),WI10,7,2,100.0 %,100.0 %,5.5,A (4.00),N/A
"Schneewind, Sarah",HIEA 164 - Sem/Late Imperial Chinese Hist (A),WI10,5,4,100.0 %,100.0 %,7.5,A- (3.75),N/A
"Kayali, Hasan",HINE 186 - Topics/Middle Eastern History (A),WI10,12,3,100.0 %,100.0 %,9.83,B+ (3.33),N/A
"Widener, Daniel",HITO 87 - Freshman Seminar (A),WI10,16,7,100.0 %,100.0 %,0.79,N/A,N/A
"Patterson, Patrick H.",HITO 87 - Freshman Seminar (B),WI10,4,2,100.0 %,100.0 %,2.5,A (4.00),N/A
"Gutierrez, David G",HIUS 167 - Topics/Mexican-American Hist (A),WI10,10,2,100.0 %,100.0 %,12.5,A (4.00),N/A
"Shah, Nayan B",HIUS 176 - Race & Sexual Politics (A),WI10,6,4,100.0 %,100.0 %,8,A- (3.75),N/A
"Jordan, Ryan P","HIUS 178 - The Atlantic World, 1400-1800 (A)",WI10,10,3,100.0 %,100.0 %,5.17,A (4.00),N/A
"Patterson, Patrick H.",HIEU 184 - Yugoslavia Before During After (A),FA09,11,11,100.0 %,100.0 %,9.7,A- (3.90),N/A
"Cruz, Asiris",HILA 122 - Cuba:Frm Colony-Socialist Repb (A),FA09,93,64,96.9 %,92.2 %,4.4,B+ (3.58),N/A
"Biess, Frank Peter",HITO 87 - Freshman Seminar (B),FA09,14,13,100.0 %,100.0 %,1.27,N/A,N/A
"McCoy, Kelli Ann",HIUS 173 - Topics/American Women's Histry (A),FA09,15,13,100.0 %,100.0 %,5.42,B+ (3.50),N/A
"Reynolds, Edward",HIAF 111 - Modern Africa Since 1880 (A),SU09,31,13,100.0 %,84.6 %,6.35,B+ (3.69),N/A
"Reynolds, Edward",HIAF 120 - History of South Africa (A),SU09,16,4,100.0 %,100.0 %,4.5,A (4.00),N/A
"Tanaka, Stefan A.",HIEA 117 - Ghosts in Japan (A),SU09,25,9,100.0 %,100.0 %,6.94,B (3.11),N/A
"Cahill, Suzanne",HIEA 128 - History/Material Culture China (A),SU09,39,12,100.0 %,100.0 %,5.67,A- (3.80),N/A
"Pickowicz, Paul G.",HIEA 131 - China/War & Revolution 1911-49 (A),SU09,42,12,100.0 %,100.0 %,7,A- (3.80),N/A
"Cahill, Suzanne",HIEA 135 - Thought&Reli China: Buddhism (A),SU09,42,14,78.6 %,100.0 %,4.5,B+ (3.64),N/A
"Herbst, Matthew",HIEU 104GS - Byzantine Empire (A),SU09,14,10,100.0 %,100.0 %,7.1,B+ (3.30),N/A
"Miano, David Ringo",HIEU 112S - Ancient Explorers (A),SU09,43,15,73.3 %,86.7 %,3.3,B (3.15),N/A
"Marino, John A.",HIEU 124GS - The City In Italy (A),SU09,22,16,93.8 %,100.0 %,8.13,B+ (3.50),N/A
"Crawford, Matthew J.",HIEU 126 - Age of Expansion/1400-1600 (A),SU09,14,7,100.0 %,100.0 %,5.07,B (3.17),N/A
"Hull, Dryden Wode",HIEU 126 - Age of Expansion/1400-1600 (A),SU09,14,7,100.0 %,100.0 %,5.07,B (3.17),N/A
"Patterson, Patrick H.",HIEU 152 - Everyday Life/Dictatorial Soc (A),SU09,12,9,88.9 %,100.0 %,10.06,A- (3.89),N/A
"Patterson, Patrick H.",HIEU 152GS - Everyday Life/Dictatorial Soc (A),SU09,29,13,100.0 %,92.3 %,11.12,B+ (3.54),N/A
"Perez, Jesus Mora",HILA 102 - Latin America/Twentieth Centry (A),SU09,23,10,60.0 %,60.0 %,5.9,A- (3.75),N/A
"Monteon, Michael P.",HILA 118 - US Agression/Latin Am 1898-Prs (A),SU09,15,3,100.0 %,66.7 %,6.5,B+ (3.67),N/A
"Riggs, Miriam E",HILA 121 - History Of Brazil (A),SU09,14,6,100.0 %,100.0 %,8.83,B+ (3.60),N/A
"Weeks, William E",HILD 2A - United States History (A),SU09,18,2,100.0 %,50.0 %,6.5,B+ (3.50),N/A
"Pye, David K.",HILD 2B - United States History (A),SU09,13,3,66.7 %,66.7 %,4.5,B+ (3.50),N/A
"Pye, David K.",HILD 7A - Race & Ethnicity/United States (A),SU09,54,23,91.3 %,87.0 %,5.28,B (3.25),N/A
"Hineline, Mark Lawrence",HISC 105 - History of Environmentalism (A),SU09,14,8,100.0 %,100.0 %,5.75,A- (3.83),N/A
"Clark, William",HISC 106 - The Scientific Revolution (A),SU09,21,11,100.0 %,100.0 %,2.5,A- (3.80),N/A
"Golan, Tal",HISC 107 - Emergence of Modern Science (A),SU09,18,8,100.0 %,100.0 %,7,B+ (3.60),N/A
"Golan, Tal","HISC 131 - Science, Technology, & Law (A)",SU09,14,7,85.7 %,100.0 %,6.21,B+ (3.57),N/A
"Zroka, Ryan Edward",HITO 133 - War & Society/Second World War (A),SU09,19,10,100.0 %,100.0 %,4.5,A- (3.70),N/A
"Gonzales, Christian M",HIUS 108A - History/Native Americans/US I (A),SU09,36,9,88.9 %,100.0 %,5.83,N/A,N/A
"Morrill, Angela T",HIUS 108B - History/Native Americans/US II (A),SU09,22,12,100.0 %,100.0 %,4.67,B+ (3.67),N/A
"Welker, Richard T.",HIUS 114 - California History (A),SU09,14,4,75.0 %,100.0 %,8.5,B (3.00),N/A
"Widner, Daniel",HIUS 117 - History of Los Angeles (A),SU09,39,14,76.9 %,78.6 %,5.21,B+ (3.40),N/A
"Widner, Daniel",HIUS 122 - History & Hollywood (A),SU09,23,10,80.0 %,70.0 %,4.5,A- (3.78),N/A
"Parrish, Michael E.",HIUS 152A - Constitutional Hist/US to 1865 (A),SU09,7,3,100.0 %,100.0 %,5.17,B+ (3.67),N/A
"Hineline, Mark Lawrence",HIUS 154 - Western Environmental History (A),SU09,19,13,92.3 %,100.0 %,4.04,B+ (3.67),N/A
"Jordan, Ryan P",HIUS 155A - Religion&Law:Fndtns to Cvl War (A),SU09,22,8,87.5 %,75.0 %,5.5,B+ (3.50),N/A
"Reyes, Barbara Olivia",HIUS 158 - Social & Econ Hist/Southwest I (A),SU09,16,8,75.0 %,87.5 %,6.5,N/A,N/A
"Voyles, Traci B.",HIUS 159 - Social&Econ Hist/Southwest II (A),SU09,16,3,100.0 %,100.0 %,13.83,B+ (3.33),N/A
"Marino, John A.",VIS 122GS - The City In Italy (A),SU09,22,16,93.8 %,100.0 %,8.13,N/A,N/A
"Esherick, Joseph W",HIEA 167 - Topics/Modern Chinese History (A),SP09,17,14,100.0 %,100.0 %,9.64,A- (3.85),N/A
"Patterson, Patrick H.",HIEU 182 - Muslim Exprnce/Contmp Europe (A),SP09,8,4,100.0 %,100.0 %,11.17,B+ (3.50),N/A
"Root, Bradley Walter","HINE 110 - Jesus, the Gospels, & History (A)",SP09,17,15,92.9 %,93.3 %,2.77,B+ (3.50),N/A
"Miano, David Ringo",HINE 163 - Topics in the Ancient World (A),SP09,15,11,100.0 %,100.0 %,5.77,A- (3.70),N/A
"Kayali, Hasan",HINE 166 - Nationalism in the Middle East (A),SP09,17,15,100.0 %,100.0 %,5.7,A- (3.93),N/A
"Shah, Nayan B",HITO 192 - Senior Seminar in History (A),SP09,9,9,100.0 %,100.0 %,2.06,N/A,N/A
"Golan, Tal",HITO 192 - Senior Seminar in History (B),SP09,10,9,100.0 %,100.0 %,1.83,N/A,N/A
"Gosin, Monika N.",HIUS 135 - Slavery and the Atlantic World (A),SP09,38,18,100.0 %,88.9 %,4.06,N/A,N/A
"Weeks, William E",HIUS 160 - Colloq. on the American Empire (A),SP09,19,18,100.0 %,100.0 %,6.17,B+ (3.50),N/A
"Owzar, Armin",HIEU 171 - Special Tops/20th Century Euro (A),WI09,19,22,100.0 %,100.0 %,4.23,B+ (3.57),N/A
"Hunefeldt, Christine",HILA 101 - Lat Amer Independnce 1810-1898 (A),WI09,16,10,100.0 %,100.0 %,4.5,B+ (3.44),N/A
"Golan, Tal",HISC 107 - Emergence of Modern Science (A),WI09,15,11,81.8 %,81.8 %,3.77,A- (3.78),N/A
"Widener, Daniel",HITO 87 - Freshman Seminar (A),WI09,13,9,100.0 %,100.0 %,1.17,A (4.00),N/A
"Wilson, Rai I.",HIUS 139 - African Amrcn Hist/the 20th C. (A),WI09,18,13,100.0 %,100.0 %,2.65,B+ (3.64),N/A
"Hughes, Judith M.",HIEU 136B - Society/Soc Thought 1870-1989 (A),FA08,17,12,83.3 %,81.8 %,6.5,B+ (3.40),N/A
"Montoya Rojas, Ciro Rodrigo",HILA 113 - Lord&Peasant in Latin America (A),FA08,14,9,87.5 %,100.0 %,4.28,B+ (3.63),N/A
"Tanaka, Stefan A.",HITO 87 - Freshman Seminar (A),FA08,12,12,83.3 %,91.7 %,1.17,N/A,N/A
"Reynolds, Edward",HIAF 111 - Modern Africa Since 1880 (A),SU08,37,34,100.0 %,97.1 %,4.98,B+ (3.57),N/A
"Reynolds, Edward",HIAF 120 - History of South Africa (A),SU08,28,25,96.0 %,96.0 %,4.82,B (3.25),N/A
"Cahill, Suzanne",HIEA 128 - History/Material Culture China (A),SU08,40,33,90.6 %,100.0 %,5.85,B+ (3.55),N/A
"Pickowicz, Paul G.",HIEA 131 - China/War & Revolution 1911-49 (A),SU08,58,52,96.2 %,96.2 %,7.27,B+ (3.55),N/A
"Cahill, Suzanne",HIEA 135 - Thought&Reli China: Buddhism (A),SU08,36,30,96.4 %,100.0 %,5.63,B+ (3.37),N/A
"Jed, Stephanie H",HIEU 124GS - The City In Italy (A),SU08,13,12,100.0 %,100.0 %,5,A- (3.92),N/A
"Crawford, Matthew J.",HIEU 138 - Imperial Spain 1476-1808 (A),SU08,13,12,100.0 %,100.0 %,6.68,B (3.25),N/A
"Brittsan, Zachary A.",HILA 103 - Revolution/Modern Latin Americ (A),SU08,18,16,100.0 %,93.8 %,6.25,B+ (3.43),N/A
"Monteon, Michael P.",HILA 118 - US Agression/Latin Am 1898-Prs (A),SU08,20,13,100.0 %,84.6 %,7.27,B+ (3.38),N/A
"Riggs, Miriam E",HILA 121 - History Of Brazil (A),SU08,20,10,100.0 %,100.0 %,7.3,B+ (3.44),N/A
"Weeks, William E",HILD 2C - United States History (A),SU08,13,8,87.5 %,87.5 %,3.75,B+ (3.67),N/A
"Pye, David K.",HILD 7A - Race & Ethnicity/United States (A),SU08,57,39,94.6 %,89.5 %,5.03,B (3.20),N/A
"Hineline, Mark Lawrence",HISC 105 - History of Environmentalism (A),SU08,13,12,100.0 %,100.0 %,4.5,B+ (3.64),N/A
"Golan, Tal","HISC 131 - Science, Technology, & Law (A)",SU08,14,13,100.0 %,100.0 %,4.81,A- (3.77),N/A
"Patterson, Patrick H.",HITO 134 - Internatnl Law/War Crimes&Geno (A),SU08,14,3,100.0 %,100.0 %,5.17,B+ (3.50),N/A
"Gonzales, Christian M",HIUS 108A - History/Native Americans/US I (A),SU08,22,19,94.4 %,100.0 %,4.61,N/A,N/A
"Fuste, Jose Ignacio","HIUS 135 - Origin/Atlantic Wrld,1450-1650 (A)",SU08,12,9,100.0 %,100.0 %,8.06,A- (3.89),N/A
"Fuste, Jose Ignacio","HIUS 135A - Origin/Atlantic Wrld,1450-1650 (A)",SU08,12,9,100.0 %,100.0 %,8.06,A- (3.89),N/A
"Hineline, Mark Lawrence",HIUS 154 - Western Environmental History (A),SU08,12,10,100.0 %,100.0 %,3.7,A- (3.70),N/A
"Jordan, Ryan P",HIUS 155A - Religion&Law:Fndtns to Cvl War (A),SU08,13,10,80.0 %,100.0 %,7.1,B+ (3.56),N/A
"Perez, Jesus Mora",HIUS 159 - Social&Econ Hist/Southwest II (A),SU08,5,4,100.0 %,100.0 %,5,B (3.00),N/A
"Jed, Stephanie H",VIS 122GS - The City In Italy (A),SU08,13,12,100.0 %,100.0 %,5,N/A,N/A
"Miano, David Ringo",HINE 160 - Special Top/Bible&Anct Nr East (A),SP08,18,14,100.0 %,100.0 %,4.81,B+ (3.64),N/A
"Kayali, Hasan",HINE 186 - Topics/Middle Eastern History (A),SP08,16,15,100.0 %,100.0 %,6.37,B+ (3.62),N/A
"Golan, Tal",HISC 170 - Topics/History of Sci & Tech (A),SP08,5,6,100.0 %,83.3 %,9.83,B+ (3.60),N/A
"Golan, Tal",HITO 192 - Senior Seminar in History (B),SP08,7,7,100.0 %,100.0 %,2.79,A (4.00),N/A
"Meade, Everard",HITO 87 - Freshman Seminar (A),SP08,5,3,100.0 %,100.0 %,1.83,N/A,N/A
"Patterson, Patrick H.",HITO 87 - Freshman Seminar (C),SP08,6,6,100.0 %,100.0 %,2.5,N/A,N/A
"Weeks, William E",HIUS 106B - Amer Foreign Relatns since1900 (A),SP08,13,11,100.0 %,100.0 %,4.5,B (3.27),N/A
"Parrish, Michael E.",HIUS 169 - American Legal&Constut History (A),SP08,14,14,92.9 %,100.0 %,2.79,A- (3.71),N/A
"Jordan, Ryan P",HIUS 188 - Topics in Culture & Politics (A),SP08,15,12,100.0 %,100.0 %,4.33,B+ (3.40),N/A
"Pickowicz, Paul G.",HIEA 163 - Cinema&Soc/20th Century China (A),WI08,5,8,100.0 %,100.0 %,4.5,A (4.00),N/A
"Owzar, Armin",HIEU 137 - New Imperialsm to Decoloniztn (A),WI08,18,12,100.0 %,100.0 %,2.5,A- (3.70),N/A
"Owzar, Armin",HIEU 171 - Special Tops/20th Century Euro (A),WI08,17,14,92.3 %,100.0 %,3.79,B (3.25),N/A
"Weeks, William E","HITO 127 - Americn Expansionism,1800-1861 (A)",WI08,14,10,90.0 %,100.0 %,3.9,B+ (3.38),N/A
"Meade, Everard",HITO 192 - Senior Seminar in History (B),WI08,5,5,100.0 %,100.0 %,4.1,A (4.00),N/A
"Kayali, Hasan",HITO 87 - Freshman Seminar (B),WI08,9,7,85.7 %,100.0 %,0.83,N/A,N/A
"Weeks, William E","HIUS 125 - Americn Expansionism,1800-1861 (A)",WI08,14,10,90.0 %,100.0 %,3.9,B+ (3.38),N/A
"Monteon, Michael P.",HITO 87 - Freshman Seminar (C),FA07,7,4,75.0 %,100.0 %,1.5,N/A,N/A
"Widener, Daniel",HIUS 181 - Topics in 20th Century U.S. (A),FA07,15,13,92.3 %,84.6 %,4.65,B+ (3.50),N/A
"Alvarez, Luis A",HIUS 187 - Topics in American Social Hist (A),FA07,14,7,100.0 %,100.0 %,10.21,B (3.00),N/A
"Tanaka, Stefan A.",HIEA 117 - Ghosts in Japan (A),SU07,30,27,96.3 %,88.5 %,4.87,B (3.23),N/A
"Pickowicz, Paul G.",HIEA 131 - China/War & Revolution 1911-49 (A),SU07,30,28,100.0 %,100.0 %,6.36,B+ (3.58),N/A
"Cahill, Suzanne",HIEA 136 - Thought/Reli China: Daoism (A),SU07,44,37,84.4 %,100.0 %,4.78,B (3.28),N/A
"Cahill, Suzanne",HIEA 137 - Women & Family/Chinese History (A),SU07,59,47,93.3 %,100.0 %,5.59,B+ (3.38),N/A
"Miano, David Ringo",HIEU 108S - Sex & Romance/ Ancient World (A),SU07,44,37,100.0 %,100.0 %,4.17,B+ (3.53),N/A
"Miano, David Ringo",HIEU 112S - Ancient Explorers (A),SU07,53,46,100.0 %,100.0 %,3.82,B+ (3.63),N/A
"La Serna, Miguel A.",HILA 103 - Revolution/Modern Latin Americ (A),SU07,26,21,100.0 %,95.2 %,8.69,B+ (3.35),N/A
"Monteon, Michael P.",HILA 118 - US Agression/Latin Am 1898-Prs (A),SU07,9,7,100.0 %,100.0 %,8.21,B (3.20),N/A
"Sanders, Sara",HILA 132 - History of Contemporary Mexico (A),SU07,13,12,100.0 %,100.0 %,5.17,B+ (3.50),N/A
"Pye, David K.",HILD 7A - Race & Ethnicity/United States (A),SU07,80,48,89.4 %,93.6 %,4.29,B+ (3.49),N/A
"Golan, Tal",HISC 109 - Science/Western Civilization (A),SU07,5,5,100.0 %,100.0 %,6.9,B+ (3.60),N/A
"Golan, Tal","HISC 131 - Science, Technology, & Law (A)",SU07,10,8,87.5 %,100.0 %,6.25,A (4.00),N/A
"Patterson, Patrick H.",HITO 134 - Internatnl Law/War Crimes&Geno (A),SU07,19,18,94.4 %,100.0 %,9.72,B+ (3.50),N/A
"Gonzales, Christian M",HIUS 108A - History/Native Americans/US I (A),SU07,25,17,93.8 %,94.1 %,4.03,N/A,N/A
"Verinakis, Theofanis Costas Dino",HIUS 108B - History/Native Americans/US II (A),SU07,12,10,100.0 %,100.0 %,5.3,B (3.25),N/A
"Widener, Daniel",HIUS 117 - History of Los Angeles (A),SU07,45,34,100.0 %,100.0 %,5.11,B (3.25),N/A
"Parrish, Michael E.",HIUS 152A - Constitutional Hist/US to 1865 (A),SU07,19,16,93.3 %,93.3 %,6.25,B (3.27),N/A
"Strathman, Theodore A",HIUS 154 - Western Environmental History (A),SU07,19,16,100.0 %,100.0 %,6.63,B+ (3.50),N/A
"Reyes, Barbara Olivia",HIUS 158 - Social & Econ Hist/Southwest I (A),SU07,16,15,93.3 %,93.3 %,4.9,N/A,N/A
